Institute,Program,Quota,Category,Gender,Opening_Rank,Closing_Rank
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),1890,1953
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,28802,35437
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),33113,37490
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,5103,5466
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),5957,6136
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,9686,12354
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),13844,16641
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,5317,7190
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),5390,7267
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,3179,3560
Indian Institute of Information Technology Manipur,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),3125,3557
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,9187,16851
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),11711,23471
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,602,602
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2333,2637
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),3854,3877
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,4062,6911
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),6803,10633
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,550,550
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1387,3686
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),3937,4460
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1011,2113
Indian Institute of Information Technology Surat,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),2255,2360
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,7995,18981
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),10102,25265
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,67,67
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Female-only (including Supernumerary),950,950
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2797,3027
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),4192,5220
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,168,168
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,5755,7487
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),6604,10156
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1681,3804
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),2255,4918
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,444,1629
Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),2680,2723
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,7905,26094
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,707,1106
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,3805,4391
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,171,171
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,6619,10026
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,562,759
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,1873,6292
Indian Institute of Information Technology(IIIT) Dharwad,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,804,2612
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,9907,28928
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,731,981
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,4122,4683
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,8687,11071
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,608,755
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,3375,5539
Indian Institute of Information Technology(IIIT) Kalyani West Bengal,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,2021,2962
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,6552,17080
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,723,873
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,2404,2899
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,197,197
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,4241,7112
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,370,420
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2942,4608
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,1857,2377
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,13922,28072
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Female-only (including Supernumerary),23928,30553
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,805,1377
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Female-only (including Supernumerary),1481,1481
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,3996,4422
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Female-only (including Supernumerary),4414,5368
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS (PwD),Gender-Neutral,238,238
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Gender-Neutral,7333,10310
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL,Female-only (including Supernumerary),10179,12082
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Gender-Neutral,729,831
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OBC-NCL (PwD),Female-only (including Supernumerary),726,726
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Gender-Neutral,2323,6644
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,SC,Female-only (including Supernumerary),4773,6775
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Gender-Neutral,2184,3116
Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering (4 Years Bachelor of Technology),AI,ST,Female-only (including Supernumerary),2732,3029
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,17513,21897
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN (PwD),Gender-Neutral,802,802
Indian Institute of Information Technology(IIIT) Una Himachal Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),AI,EWS,Gender-Neutral,3290,3750
